Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1990. 01,867.2,686.3,,,,,,,,,,,SO
1990. 02,845.5,694.0,,,,,,,,,,,SO
1990. 03,785.5,702.1,,,,,,,,,,,SO
1990. 04,771.7,707.0,,,,,,,,,,,SO
1990. 05,766.7,712.3,,,,,,,,,,,SO
1990. 06,698.2,716.0,,,,,,,,,,,SO
1990. 07,637.4,715.1,,,,,,,,,,,SO
1990. 08,602.2,714.0,,,,,,,,,,,SO
1990. 09,682.8,712.9,,,,,,,,,,,SO
1990. 10,696.4,713.8,,,,,,,,,,,SO
1990. 11,712.5,713.1,,,,,,,,,,,SO
1990. 12,647.5,716.4,7.723860382323333,,,,,,,,,,SO
1991. 01,654.7,719.0,9.654818426793256,,,,,,,,,,SO
1991. 02,670.6,724.4,9.44152647737939,,,,,,,,,,SO
1991. 03,638.3,724.7,9.326749548826951,,,,,,,,,,SO
1991. 04,630.2,725.1,8.723135271807836,,,,,,,,,,SO
1991. 05,604.7,723.0,8.266049625836946,,,,,,,,,,SO
1991. 06,646.3,723.1,8.523979816783434,,,,,,,,5.35,,SO
1991. 07,710.6,726.1,9.187261893132748,,,,,,,,4.1999999999999975,,SO
1991. 08,684.3,735.6,9.417671169750896,,,,,,,,4.33,,SO
1991. 09,705.2,741.5,9.399206041828045,,,,,,,,4.329999999999998,,SO
1991. 10,668.1,750.3,9.172232536831192,,,,,,,,2.580000000000002,,SO
1991. 11,625.1,754.5,8.913475584931874,,,,,,,,-1.1400000000000006,,SO
1991. 12,639.8,760.8,6.347274557071625,,,,,,,,-1.139999999999997,,SO
1992. 01,651.3,762.0,6.00482240563851,,,,,,,,-4.140000000000001,,SO
1992. 02,615.8,768.2,5.380929454111927,,,,,,,,-5.109999999999998,,SO
1992. 03,588.4,775.1,5.813953488372081,,,,,,,,-3.8200000000000003,,SO
1992. 04,589.3,778.8,6.0706652721568055,,,,,,,,-2.99,,SO
1992. 05,564.5,783.5,5.935990610752495,,,,,,,,-2.530000000000001,,SO
1992. 06,523.0,790.2,5.159919481100417,,,,,,,,-0.13000000000000078,,SO
1992. 07,496.3,788.1,4.577293079753519,,,,,,,,0.4299999999999997,,SO
1992. 08,537.1,787.6,4.7461002323266,,,,,,,,-0.02000000000000135,,SO
